strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,market_style_state,selected_strategy,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,strategy_source,ashare_resolved_strategy,dual_intersection_count,dual_union_count,target_position_ratio,style_reason,switch_reason,route_reason,risk_veto_reason,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail,流动性质量防守策略,4,2026-06-04,300620,光库科技,通信设备,93.75945788964182,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,5,2026-06-04,300750,宁德时代,电气设备,93.73650855114553,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,1,2026-06-04,002463,沪电股份,元器件,95.95123588254275,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2,2026-06-04,600183,生益科技,元器件,94.99211358502744,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,3,2026-06-04,688630,芯碁微装,专用机械,93.97703775411424,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,4,2026-06-04,300620,光库科技,通信设备,93.75945788964182,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,5,2026-06-04,300750,宁德时代,电气设备,93.73650855114553,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.8
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,1,2026-06-04,002463,沪电股份,元器件,95.95123588254275,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2,2026-06-04,600183,生益科技,元器件,94.99211358502744,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,3,2026-06-04,688630,芯碁微装,专用机械,93.97703775411424,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,4,2026-06-04,300620,光库科技,通信设备,93.75945788964182,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,5,2026-06-04,300750,宁德时代,电气设备,93.73650855114553,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,1,2026-06-04,300308,中际旭创,通信设备,30.0,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2,2026-06-04,603986,兆易创新,半导体,29.99,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,3,2026-06-04,300502,新易盛,通信设备,29.99,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,4,2026-06-04,300394,天孚通信,通信设备,29.98,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,5,2026-06-04,688008,澜起科技,半导体,29.98,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,1,2026-06-04,002463,沪电股份,元器件,95.95123588254275,0.03250432671001575,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2,2026-06-04,600183,生益科技,元器件,94.99211358502744,0.03517941627510962,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,3,2026-06-04,688630,芯碁微装,专用机械,93.97703775411424,0.026201873108995657,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,4,2026-06-04,300620,光库科技,通信设备,93.75945788964182,0.02634684125930613,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,5,2026-06-04,300750,宁德时代,电气设备,93.73650855114553,0.0776967735841647,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,1,2026-06-04,002463,沪电股份,元器件,95.95123588254275,0.2,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2,2026-06-04,600183,生益科技,元器件,94.99211358502744,0.2,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,3,2026-06-04,688630,芯碁微装,专用机械,93.97703775411424,0.2,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,4,2026-06-04,300620,光库科技,通信设备,93.75945788964182,0.09467977528089877,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,5,2026-06-04,300750,宁德时代,电气设备,93.73650855114553,0.0588380374571353,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,1,2026-06-04,600222,太龙药业,中成药,81.47,0.2,score,,,,,,,,,,,,,,,,,,,,,baseline_full_score,10,0.8
baseline_full_score,基础综合评分策略,2,2026-06-04,603319,美湖股份,汽车配件,81.1,0.2,score,,,,,,,,,,,,,,,,,,,,,baseline_full_score,10,0.8
baseline_full_score,基础综合评分策略,3,2026-06-04,600985,淮北矿业,煤炭开采,79.22,0.2,score,,,,,,,,,,,,,,,,,,,,,baseline_full_score,10,0.8
baseline_full_score,基础综合评分策略,4,2026-06-04,003033,征和工业,汽车配件,78.91,0.2,score,,,,,,,,,,,,,,,,,,,,,baseline_full_score,10,0.8
baseline_full_score,基础综合评分策略,5,2026-06-04,603011,合锻智能,专用机械,78.59,0.2,score,,,,,,,,,,,,,,,,,,,,,baseline_full_score,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,1,2026-06-04,300308,中际旭创,通信设备,30.0,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2,2026-06-04,603986,兆易创新,半导体,29.99,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,3,2026-06-04,300502,新易盛,通信设备,29.99,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,4,2026-06-04,300394,天孚通信,通信设备,29.98,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,5,2026-06-04,688008,澜起科技,半导体,29.98,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_style_switch_dynamic_position,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,1,2026-06-04,300308,中际旭创,通信设备,30.0,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_market_style,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,2,2026-06-04,603986,兆易创新,半导体,29.99,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_market_style,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,3,2026-06-04,300502,新易盛,通信设备,29.99,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_market_style,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,4,2026-06-04,300394,天孚通信,通信设备,29.98,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_market_style,10,0.8
adaptive_style_shadow,市场风格自适应生产策略（影子）,5,2026-06-04,688008,澜起科技,半导体,29.98,0.1,adaptive:baseline_full_liquidity:s_liquidity,defensive,baseline_full_liquidity,0.5,defensive_reduce_to_50pct,defensive,baseline_full_liquidity,baseline_full_liquidity_detail_vol_position,8.215018888782526,0.0,index_neutral,normal,,,,,0.5,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_market_style,10,0.8
ashare_auto_shadow,AShare AUTO策略（影子）,1,2026-06-04,300720,海川智能,电器仪表,91.567044,0.26666666666666666,,,,,,,2B买→等4B+最多持仓20日,,,,,,AShareDataCenter,,,,0.8,,,,,ashare_auto_shadow,10,0.8
ashare_auto_shadow,AShare AUTO策略（影子）,2,2026-06-04,300716,ST泉为,塑料,85.077431,0.26666666666666666,,,,,,,2B买→等4B+最多持仓20日,,,,,,AShareDataCenter,,,,0.8,,,,,ashare_auto_shadow,10,0.8
ashare_auto_shadow,AShare AUTO策略（影子）,3,2026-06-04,603725,天安新材,塑料,87.390953,0.26666666666666666,,,,,,,4S买→1S卖(baseline),,,,,,AShareDataCenter,,,,0.8,,,,,ashare_auto_shadow,10,0.8
